sym,time,open,high,low,close,volume
BTCUSD,2017-12-21D00:00:00.000000000,16689.61,19891.99,14001,16496.89,196159.9
BTCUSD,2017-12-28D00:00:00.000000000,16496.9,17364.57,10400,15367.08,249047.3
BTCUSD,2018-01-04D00:00:00.000000000,15360.01,15489,12500,15098.14,153089.8
BTCUSD,2018-01-11D00:00:00.000000000,15098.23,17178,13550.01,14875.18,130015.8
BTCUSD,2018-01-18D00:00:00.000000000,14875.17,14970,9005,11200.01,201140.8
BTCUSD,2018-01-25D00:00:00.000000000,11204.64,12985.55,9945,11356.79,142453.5
BTCUSD,2018-02-01D00:00:00.000000000,11356.8,11697.24,9601.02,10099.99,117235.1
BTCUSD,2018-02-08D00:00:00.000000000,10099.99,10166.25,5873,7575.76,338976.5
BTCUSD,2018-02-15D00:00:00.000000000,7575.76,9482.5,7550,9472.98,158641.1
BTCUSD,2018-02-22D00:00:00.000000000,9472.98,11775,9342.46,10450.01,173371.2
BTCUSD,2018-03-01D00:00:00.000000000,10450.01,11044,9324.75,10307.27,137088
BTCUSD,2018-03-08D00:00:00.000000000,10307.26,11645.74,9400,9925,112324.7
BTCUSD,2018-03-15D00:00:00.000000000,9925,10098,7931,8205,170082
BTCUSD,2018-03-22D00:00:00.000000000,8205,9174,7310,8891.81,150589.4
BTCUSD,2018-03-29D00:00:00.000000000,8891.81,9073.93,7727.76,7942.72,95944.48
BTCUSD,2018-04-05D00:00:00.000000000,7942.73,7957,6450,6791.68,135373.3
BTCUSD,2018-04-12D00:00:00.000000000,6791.68,7169.53,6518.88,6689,50392.28
BTCUSD,2018-04-19D00:00:00.000000000,6943,8398.98,6767.77,8152.05,106991.3
BTCUSD,2018-04-26D00:00:00.000000000,8152.05,9763.49,8101.47,8867.01,108764
BTCUSD,2018-05-03D00:00:00.000000000,8867,9512.5,8660,9190.48,72985
BTCUSD,2018-05-10D00:00:00.000000000,9190.47,9948.12,8960,9300.08,70848.83
BTCUSD,2018-05-17D00:00:00.000000000,9300.08,9386.32,8103.33,8344,78585.27
BTCUSD,2018-05-24D00:00:00.000000000,8344.01,8600,7433.19,7505,53285.96
BTCUSD,2018-05-31D00:00:00.000000000,7505.01,7734.99,7058,7380.01,53565.14
BTCUSD,2018-06-07D00:00:00.000000000,7380,7777,7340,7655,40792.67
BTCUSD,2018-06-14D00:00:00.000000000,7655,7747,6135,6302.31,70209.64
BTCUSD,2018-06-21D00:00:00.000000000,6302.32,6829.06,6269,6760,50266.14
BTCUSD,2018-06-28D00:00:00.000000000,6760,6787,5777,6132.17,64680.32
BTCUSD,2018-07-05D00:00:00.000000000,6132.16,6796.62,5790.01,6587.46,51376.93
BTCUSD,2018-07-12D00:00:00.000000000,6587.47,6843.26,6279,6390.04,38332.58
BTCUSD,2018-07-19D00:00:00.000000000,6390.04,7584.85,6075.01,7379,62880.17
BTCUSD,2018-07-26D00:00:00.000000000,7379,8488,7204.32,8157.15,77747.41
BTCUSD,2018-08-02D00:00:00.000000000,8157.15,8290,7437,7603.99,67251.11
BTCUSD,2018-08-09D00:00:00.000000000,7382.46,7538.53,6121.04,6282.5,62356.2
BTCUSD,2018-08-16D00:00:00.000000000,6282.5,6636,5900,6269,86600.34
BTCUSD,2018-08-23D00:00:00.000000000,6269.01,6890.65,6200,6359.99,61782.3
BTCUSD,2018-08-30D00:00:00.000000000,6360,7128,6348.69,7030.9,51278.43
BTCUSD,2018-09-06D00:00:00.000000000,7030.92,7402.5,6664.07,6687.96,58877.21
BTCUSD,2018-09-13D00:00:00.000000000,6687.96,6703.73,6116,6326,63119.87
BTCUSD,2018-09-20D00:00:00.000000000,6326,6580,6106.37,6386.95,50663.32
BTCUSD,2018-09-27D00:00:00.000000000,6386.94,6823,6320.5,6455.66,48054.02
BTCUSD,2018-10-04D00:00:00.000000000,6455.65,6786.73,6398.96,6466.03,43856.36
BTCUSD,2018-10-11D00:00:00.000000000,6466.02,6681.19,6445.48,6524.56,33786.52
BTCUSD,2018-10-18D00:00:00.000000000,6524.56,6810,6033.34,6443.7,70632.66
BTCUSD,2018-10-25D00:00:00.000000000,6443.69,6489.83,6353.86,6415.97,30304.47
BTCUSD,2018-11-01D00:00:00.000000000,6415.98,6450,6201.67,6304.18,28673.02
BTCUSD,2018-11-08D00:00:00.000000000,6304.18,6540,6293.44,6503.12,30743
BTCUSD,2018-11-15D00:00:00.000000000,6502.61,6511.88,5280.93,5605.01,55861.23
BTCUSD,2018-11-22D00:00:00.000000000,5605,5665,4035,4545.12,177467.9
BTCUSD,2018-11-29D00:00:00.000000000,4545.12,4589,3456.78,4225.03,190842.6
BTCUSD,2018-12-06D00:00:00.000000000,4224.86,4414.89,3660,3694.39,111378.4
BTCUSD,2018-12-13D00:00:00.000000000,3694.39,3849,3212,3430.24,127345.1
BTCUSD,2018-12-20D00:00:00.000000000,3430.24,3928.15,3128.89,3682.51,112689.9
BTCUSD,2018-12-27D00:00:00.000000000,3682.51,4239.37,3661.5,3809.88,117086
BTCUSD,2019-01-03D00:00:00.000000000,3809.88,3971.58,3567,3890.79,82279.88
BTCUSD,2019-01-10D00:00:00.000000000,3890.8,4114.8,3730,4004.12,69696.56
BTCUSD,2019-01-17D00:00:00.000000000,4004.13,4035.21,3481.54,3609.75,81462.57
