sym,time,open,high,low,close,volume
BTCUSD,2019-12-13D02:30:00.000000000,7194.11,7204.32,7192.8,7204.02,117.2941
BTCUSD,2019-12-13D02:45:00.000000000,7203.13,7203.78,7193.28,7194.33,70.43756
BTCUSD,2019-12-13D03:00:00.000000000,7194.32,7201.53,7191.88,7196.16,37.77558
BTCUSD,2019-12-13D03:15:00.000000000,7196.16,7198.11,7194.92,7198.11,22.08479
BTCUSD,2019-12-13D03:30:00.000000000,7198.11,7203.11,7198.11,7203.11,24.99012
BTCUSD,2019-12-13D03:45:00.000000000,7203.11,7217.67,7203.1,7212.01,61.72032
BTCUSD,2019-12-13D04:00:00.000000000,7212.01,7215,7208,7212.1,23.53447
BTCUSD,2019-12-13D04:15:00.000000000,7212.1,7220,7212.09,7220,53.62443
BTCUSD,2019-12-13D04:30:00.000000000,7220,7229.82,7215.92,7223.42,94.001
BTCUSD,2019-12-13D04:45:00.000000000,7223.41,7223.45,7216.14,7219.42,28.9432
BTCUSD,2019-12-13D05:00:00.000000000,7219.41,7220.68,7214.32,7215.34,35.87784
BTCUSD,2019-12-13D05:15:00.000000000,7215.34,7216.35,7204.58,7209.18,66.17813
BTCUSD,2019-12-13D05:30:00.000000000,7209.18,7210.19,7205.25,7208.89,20.09451
BTCUSD,2019-12-13D05:45:00.000000000,7208.89,7211.32,7208.1,7211.31,15.64356
BTCUSD,2019-12-13D06:00:00.000000000,7211.31,7211.32,7209.88,7211.32,50.49926
BTCUSD,2019-12-13D06:15:00.000000000,7211.32,7212.31,7204,7204.01,14.79407
BTCUSD,2019-12-13D06:30:00.000000000,7204,7207.2,7204,7204.18,31.0875
BTCUSD,2019-12-13D06:45:00.000000000,7204.2,7206.1,7202,7205.02,8.863641
BTCUSD,2019-12-13D07:00:00.000000000,7205.01,7206.33,7203.47,7204.25,22.25961
BTCUSD,2019-12-13D07:15:00.000000000,7204.25,7212.7,7200.65,7212.34,51.89026
BTCUSD,2019-12-13D07:30:00.000000000,7212.35,7225,7212.34,7224.28,43.04203
BTCUSD,2019-12-13D07:45:00.000000000,7223.72,7227.48,7220,7227.48,34.5771
BTCUSD,2019-12-13D08:00:00.000000000,7225.82,7232.4,7221.25,7221.26,42.85319
BTCUSD,2019-12-13D08:15:00.000000000,7221.25,7238.58,7192.79,7199.45,172.3286
BTCUSD,2019-12-13D08:30:00.000000000,7199.45,7215.89,7195,7209.48,86.53354
BTCUSD,2019-12-13D08:45:00.000000000,7209.48,7209.48,7190.12,7202.05,53.97117
BTCUSD,2019-12-13D09:00:00.000000000,7202.04,7204.04,7197.6,7200.57,73.25474
BTCUSD,2019-12-13D09:15:00.000000000,7200.56,7210,7200.42,7208.27,9.559938
BTCUSD,2019-12-13D09:30:00.000000000,7208.27,7210.51,7203.46,7205.53,34.04084
BTCUSD,2019-12-13D09:45:00.000000000,7205.53,7212,7205.53,7211.01,13.25603
BTCUSD,2019-12-13D10:00:00.000000000,7211.01,7211.76,7200,7202.56,14.3407
BTCUSD,2019-12-13D10:15:00.000000000,7202.56,7207,7196.5,7206.27,17.94249
BTCUSD,2019-12-13D10:30:00.000000000,7206.28,7206.28,7200.52,7201.69,18.39565
BTCUSD,2019-12-13D10:45:00.000000000,7201.69,7213,7201.69,7208.03,39.22896
BTCUSD,2019-12-13D11:00:00.000000000,7208.03,7211.03,7207.83,7209.66,12.8887
BTCUSD,2019-12-13D11:15:00.000000000,7209.65,7211.88,7209.32,7211.03,30.0368
